rank,date,original_transfer_date,date_note,season,club,player,direction,transfer_type,transfer_quality,rumor_count,max_rumor_strength,observed_car_m1_p1,observed_label,heuristic_predicted_car,heuristic_label,confidence,interpretation
1,2025-06-08,,exact or source-provided date,2025-26,Manchester United,Matheus Cunha,in,permanent,0.6717,1,0.686,0.219926,positive,0.0196,neutral,0.6587,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
2,2023-08-05,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,1,0.686,0.16173,positive,0.01,neutral,0.6587,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
3,2022-01-25,,exact or source-provided date,2021-22,Juventus,Dušan Vlahović,in,permanent,0.6755,1,0.9675,0.107563,positive,0.0339,positive,0.7854,Observed positive abnormal return; heuristic says positive; 1 matched rumor/news rows.
4,2025-06-23,,exact or source-provided date,2025-26,Manchester United,Bryan Mbeumo,in,permanent,0.6682,1,0.686,0.104338,positive,0.0194,neutral,0.6587,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
5,2024-08-28,,exact or source-provided date,2024-25,Juventus,Teun Koopmeiners,in,permanent,0.6872,3,0.686,0.103188,positive,0.0205,positive,0.6587,Observed positive abnormal return; heuristic says positive; 3 matched rumor/news rows.
6,2023-06-28,,exact or source-provided date,2023-24,Manchester United,Mason Mount,in,permanent,0.7461,1,0.686,0.096448,neutral,0.0241,positive,0.6587,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
7,2022-06-17,,exact or source-provided date,2022-23,Juventus,Federico Chiesa,in,permanent,0.8456,1,0.686,0.093337,positive,0.03,positive,0.6587,Observed positive abnormal return; heuristic says positive; 1 matched rumor/news rows.
8,2022-08-17,,exact or source-provided date,2022-23,Manchester United,Casemiro,in,permanent,0.4526,1,0.7575,0.092357,positive,0.01,neutral,0.6909,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
9,2023-08-01,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,1,0.675,-0.090789,negative,0.0094,neutral,0.6538,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
10,2023-07-20,,exact or source-provided date,2023-24,Manchester United,André Onana,in,permanent,0.6023,1,0.686,-0.089424,neutral,0.0154,neutral,0.6587,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
11,2023-07-29,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,2,0.686,-0.081609,negative,0.01,neutral,0.6587,Observed negative abnormal return; heuristic says neutral; 2 matched rumor/news rows.
12,2022-07-12,,exact or source-provided date,2022-23,Juventus,Bremer,in,permanent,0.6452,1,0.896,-0.08073,negative,0.0285,positive,0.7532,Observed negative abnormal return; heuristic says positive; 1 matched rumor/news rows.
13,2022-01-27,,exact or source-provided date,2021-22,Juventus,Dušan Vlahović,in,permanent,0.6755,1,0.7575,0.07937,neutral,0.0234,positive,0.6909,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
14,2024-06-12,,exact or source-provided date,2024-25,Juventus,Douglas Luiz,in,permanent,0.7845,1,0.686,0.071525,positive,0.0264,positive,0.6587,Observed positive abnormal return; heuristic says positive; 1 matched rumor/news rows.
